longitude,latitude,year,month,day,magnitude,depth,hour,minute,second
-58,-15.3,1744,9,24,2.8,0,15,0,0
-40.33,-20.31,1767,8,1,3.5,0,23,0,0
-47.94,-25.01,1789,5,9,3.7,0,0,0,0
-51.3,-30.04,1811,1,1,3.5,0,23,0,0
-34.87,-8.08,1811,10,28,3.8,0,22,30,0
-44.88,-21.98,1824,1,1,3.2,0,0,0,0
-45.72,-20.82,1832,1,1,3.5,0,0,0,0
-45.39,-21.84,1839,7,16,3,0,2,0,0
-44.75,-21.03,1840,1,1,3,0,0,0,0
-35.46,-5.2,1854,1,10,3.7,0,10,0,0
-43.48,-19.95,1855,7,25,3.5,0,9,0,0
-45.2,-22.6,1861,7,31,4.4,0,4,0,0
-45.25,-21.93,1863,4,9,3.6,0,2,45,0
-44.3,-2.53,1864,11,23,3.2,0,14,30,0
-44.35,-3.4,1871,4,5,3.7,0,4,30,0
-47.5,-23.5,1874,10,30,3.6,0,12,30,0
-57.82,-16.57,1876,6,27,3,0,21,30,0
-56.1,-15.6,1879,3,1,3.5,0,0,0,0
-35.5,-6,1879,7,24,4.3,0,20,25,0
-46.58,-21.79,1882,10,21,3,0,0,0,0
-43.69,-22.66,1886,5,9,4.3,0,18,15,0
-48.51,-25.52,1887,8,27,3,0,11,20,0
-38.7,-4.19,1888,5,1,3,0,7,30,0
-58,-34.5,1888,6,5,5,0,0,20,0
-49.06,-26.93,1898,2,25,3.9,0,4,0,0
-46.55,-18.6,1899,5,1,3.5,0,0,0,0
-39.6,-13.03,1899,12,1,3.5,0,0,0,0
-44.75,-21.03,1901,4,4,3,0,16,0,0
-44.75,-21.03,1901,4,5,3,0,8,0,0
-44.75,-21.03,1901,6,2,3,0,2,0,0
-44.75,-21.03,1901,9,4,3,0,21,0,0
-38.97,-4.38,1903,2,10,3.9,0,0,0,0
-38.97,-4.38,1903,2,12,3.9,0,0,0,0
-38.97,-4.38,1903,2,14,4.1,0,0,0,0
-38.97,-4.38,1903,2,15,4.1,0,0,0,0
-38.97,-4.38,1903,2,16,4.1,0,0,0,0
-57.64,-19,1906,10,25,4.2,0,2,52,0
-43.8,-20.95,1906,12,4,3.2,0,11,0,0
-44.42,-2.41,1909,12,23,3,0,0,0,0
-38.69,-12.89,1911,3,15,3.3,0,23,55,0
-38.67,-12.92,1911,3,22,4.4,0,18,0,0
-38.89,-13.2,1912,4,19,3.7,0,8,0,0
-46.79,-24.18,1915,2,2,3.2,0,0,0,0
-38.63,-12.67,1915,11,6,4,0,18,30,0
-41.5,-21.6,1917,5,5,4.5,0,7,50,0
-38.66,-12.48,1917,11,7,4.3,0,23,25,0
-38.62,-12.45,1917,11,8,3.7,0,1,0,0
-46.62,-23.53,1918,1,1,3,0,0,0,0
-38.62,-12.45,1918,1,12,3.7,0,11,0,0
-44.75,-21.03,1919,6,5,3.2,0,4,20,0
-46.85,-17.3,1919,9,1,2.8,0,0,0,0
-38.68,-12.75,1919,11,9,3.8,0,14,0,0
-38.62,-12.59,1919,11,10,3.6,0,0,0,0
-38.7,-12.55,1919,11,13,3.5,0,0,0,0
-38.68,-12.67,1919,11,16,3.5,0,9,55,0
-38.62,-12.65,1919,11,23,4.2,0,4,20,0
-38.92,-3.87,1919,11,24,4.5,0,6,0,0
-44.75,-21.03,1920,1,31,4,0,11,10,0
-44.75,-21.03,1920,2,1,3.2,0,4,35,0
-44.75,-21.03,1920,2,9,3,0,16,20,0
-44.75,-21.03,1920,3,11,3,0,22,15,0
-47.04,-22.17,1922,1,27,5.1,0,6,50,0
-35.96,-8.28,1924,1,1,3,0,0,0,0
-38.46,-6.04,1927,1,1,3,0,3,0,0
-37.76,-4.56,1928,4,15,4,0,21,59,0
-39.36,-5.42,1928,6,8,3.6,0,21,30,0
-60,-29.6,1935,1,2,3,0,1,12,0
-44.75,-21.03,1935,10,21,3.7,0,10,40,0
-48,-29,1939,6,28,5.5,0,11,32,0
-54.5,-16.1,1941,4,11,4.4,0,12,5,0
-40.84,-3.1,1942,1,1,3,0,18,30,0
-46.71,-21.31,1946,2,19,3,0,4,0,0
-47.7,-25.1,1946,7,18,4.6,0,7,15,0
-48.48,-1.44,1946,10,7,2.8,0,20,25,0
-46.58,-21.79,1947,1,1,3,0,0,0,0
-57.9,-21.7,1947,12,15,3.5,0,19,5,0
-58,-30.5,1948,1,21,5.5,0,16,47,0
-49.97,-15.07,1948,5,1,3,0,0,0,0
-36.24,-5.69,1949,12,31,3.9,0,0,0,0
-46.71,-21.82,1950,2,27,3.9,0,11,58,0
-35.61,-5.9,1950,4,7,3,0,15,0,0
