"latitude","longitude","year","month","day","magnitude","depth","hour","minute"
-58.000,-15.300,1744,9,24,2.8,0.00,15,0
-40.330,-20.310,1767,8,1,3.5,0.00,23,0
-47.940,-25.010,1789,5,9,3.7,0.00,0,0
-51.300,-30.040,1811,1,1,3.5,0.00,23,0
-34.870,-8.080,1811,10,28,3.8,0.00,22,30
-44.880,-21.980,1824,1,1,3.2,0.00,0,0
-45.720,-20.820,1832,1,1,3.5,0.00,0,0
-45.390,-21.840,1839,7,16,3.0,0.00,2,0
-44.750,-21.030,1840,1,1,3.0,0.00,0,0
-35.460,-5.200,1854,1,10,3.7,0.00,10,0
-43.480,-19.950,1855,7,25,3.5,0.00,9,0
-45.200,-22.600,1861,7,31,4.4,0.00,4,0
-45.250,-21.930,1863,4,9,3.6,0.00,2,45
-44.300,-2.530,1864,11,23,3.2,0.00,14,30
-44.350,-3.400,1871,4,5,3.7,0.00,4,30
-47.500,-23.500,1874,10,30,3.6,0.00,12,30
-57.820,-16.570,1876,6,27,3.0,0.00,21,30
-56.100,-15.600,1879,3,1,3.5,0.00,0,0
-35.500,-6.000,1879,7,24,4.3,0.00,20,25
-46.580,-21.790,1882,10,21,3.0,0.00,0,0
-43.690,-22.660,1886,5,9,4.3,0.00,18,15
-48.510,-25.520,1887,8,27,3.0,0.00,11,20
-38.700,-4.190,1888,5,1,3.0,0.00,7,30
-58.000,-34.500,1888,6,5,5.0,0.00,0,20
-49.060,-26.930,1898,2,25,3.9,0.00,4,0
-46.550,-18.600,1899,5,1,3.5,0.00,0,0
-39.600,-13.030,1899,12,1,3.5,0.00,0,0
-44.750,-21.030,1901,4,5,3.3,0.00,8,0
-44.750,-21.030,1901,6,2,3.0,0.00,2,0
-44.750,-21.030,1901,9,4,3.0,0.00,21,0
-38.970,-4.380,1903,2,10,3.9,0.00,0,0
-38.970,-4.380,1903,2,12,3.9,0.00,0,0
-38.970,-4.380,1903,2,14,4.1,0.00,0,0
-38.970,-4.380,1903,2,15,4.1,0.00,0,0
-38.970,-4.380,1903,2,16,4.1,0.00,0,0
-57.640,-19.000,1906,10,25,4.2,0.00,2,52
-43.800,-20.950,1906,12,4,3.2,0.00,11,0
-44.420,-2.410,1909,12,23,3.0,0.00,0,0
-38.690,-12.890,1911,3,15,3.3,0.00,23,55
-38.670,-12.920,1911,3,22,4.4,0.00,18,0
-38.890,-13.200,1912,4,19,3.7,0.00,8,0
-46.790,-24.180,1915,2,2,3.2,0.00,0,0
-38.630,-12.670,1915,11,6,4.0,0.00,18,30
-41.500,-21.600,1917,5,5,4.5,0.00,7,50
-38.654,-12.475,1917,11,7,4.4,0.00,23,25
-46.620,-23.530,1918,1,1,3.0,0.00,0,0
-38.620,-12.450,1918,1,12,3.7,0.00,11,0
-44.750,-21.030,1919,6,5,3.2,0.00,4,20
-46.850,-17.300,1919,9,1,2.8,0.00,0,0
-38.642,-12.656,1919,11,23,4.4,0.00,4,20
-38.920,-3.870,1919,11,24,4.5,0.00,6,0
-44.750,-21.030,1920,1,31,4.1,0.00,11,10
-47.040,-22.170,1922,1,27,5.1,0.00,6,50
-35.960,-8.280,1924,1,1,3.0,0.00,0,0
-38.460,-6.040,1927,1,1,3.0,0.00,3,0
-37.760,-4.560,1928,4,15,4.0,0.00,21,59
-39.360,-5.420,1928,6,8,3.6,0.00,21,30
-60.000,-29.600,1935,1,2,3.0,0.00,1,12
-44.750,-21.030,1935,10,21,3.7,0.00,10,40
-48.000,-29.000,1939,6,28,5.5,0.00,11,32
-54.500,-16.100,1941,4,11,4.4,0.00,12,5
-40.840,-3.100,1942,1,1,3.0,0.00,18,30
-46.710,-21.310,1946,2,19,3.0,0.00,4,0
-47.700,-25.100,1946,7,18,4.6,0.00,7,15
-48.480,-1.440,1946,10,7,2.8,0.00,20,25
-46.580,-21.790,1947,1,1,3.0,0.00,0,0
-57.900,-21.700,1947,12,15,3.5,0.00,19,5
-58.000,-30.500,1948,1,21,5.5,0.00,16,47
-49.970,-15.070,1948,5,1,3.0,0.00,0,0
-36.240,-5.690,1949,12,31,3.9,0.00,0,0
-46.710,-21.820,1950,2,27,3.9,0.00,11,58
-35.610,-5.900,1950,4,7,3.0,0.00,15,0
-51.840,3.830,1951,4,24,4.7,0.00,0,0
-36.490,-9.930,1954,1,1,3.0,0.00,0,0
-57.350,-12.520,1955,1,31,6.2,0.00,5,3
-36.750,-19.840,1955,3,1,6.1,0.00,1,46
-57.410,-11.540,1959,2,5,3.5,0.00,13,50
-48.690,-21.260,1959,5,25,3.2,0.00,23,8
-48.690,-21.260,1959,5,27,3.2,0.00,17,5
-48.690,-21.260,1959,5,29,3.2,0.00,6,55
-43.230,-22.930,1962,1,17,3.2,0.00,2,27
-36.240,-5.690,1963,8,27,3.7,0.00,0,0
-36.240,-5.690,1963,9,3,3.7,0.00,0,0
-36.240,-5.690,1963,10,2,3.9,0.00,0,0
-35.960,-8.280,1964,1,19,3.5,0.00,0,0
-56.690,-18.060,1964,2,13,5.4,5.00,11,21
-45.590,-20.510,1964,3,21,3.0,0.00,0,0
-35.960,-8.280,1964,6,16,3.5,0.00,0,0
-59.620,2.640,1964,6,19,4.5,0.00,3,56
-44.720,-19.940,1965,8,12,3.3,0.00,0,0
-60.120,2.680,1965,8,15,4.9,0.00,19,36
-46.000,-20.800,1966,11,15,3.2,0.00,8,0
-35.980,-8.200,1967,1,21,3.8,0.00,18,59
-45.000,-23.300,1967,3,23,4.1,0.00,21,12
-43.120,-22.850,1967,8,5,3.6,0.00,9,56
-38.441,-6.088,1968,1,13,3.9,0.00,1,55
-38.440,-6.090,1968,1,18,3.5,0.00,10,40
-38.440,-6.110,1968,2,4,3.2,0.00,0,0
-38.440,-6.090,1968,2,15,4.1,0.00,13,20
-38.440,-6.090,1968,2,23,4.6,0.00,14,23
-39.580,-6.920,1968,3,1,3.0,0.00,0,0
-38.460,-6.040,1968,3,18,3.7,0.00,0,0
-72.890,-8.900,1968,8,27,4.9,26.00,5,17
-60.880,-26.870,1968,10,15,5.0,20.00,19,54
-48.480,-1.320,1970,1,12,4.5,0.00,4,43
-36.210,-7.960,1970,1,29,3.9,0.00,0,0
-36.210,-7.960,1970,1,30,3.5,0.00,0,0
-73.380,-8.290,1970,3,29,4.3,25.00,8,27
-49.100,-13.500,1970,8,14,3.0,0.00,4,59
-35.530,-6.930,1970,11,1,3.9,0.00,0,0
-49.100,-13.500,1970,11,20,3.6,0.00,23,55
