eventID,Agency,year,month,day,hour,minute,second,timeError,longitude,latitude,SemiMajor90,SemiMinor90,ErrorStrike,depth,depthError,magnitude,sigmaMagnitude,magnitudeType
,,1901,6,2,2,0,0.0,,-44.75,-21.030000000000001,,,,0.0,,3.0,,
,,1901,9,4,21,0,0.0,,-44.75,-21.030000000000001,,,,0.0,,3.0,,
,,1903,2,15,0,0,0.0,,-38.969999999999999,-4.3799999999999999,,,,0.0,,4.0999999999999996,,
,,1906,10,25,2,52,0.0,,-57.640000000000001,-19.0,,,,0.0,,4.2000000000000002,,
,,1906,12,4,11,0,0.0,,-43.799999999999997,-20.949999999999999,,,,0.0,,3.2000000000000002,,
,,1909,12,23,0,0,0.0,,-44.420000000000002,-2.4100000000000001,,,,0.0,,3.0,,
,,1911,3,22,18,0,0.0,,-38.670000000000002,-12.92,,,,0.0,,4.4000000000000004,,
,,1912,4,19,8,0,0.0,,-38.890000000000001,-13.199999999999999,,,,0.0,,3.7000000000000002,,
,,1915,2,2,0,0,0.0,,-46.789999999999999,-24.18,,,,0.0,,3.2000000000000002,,
,,1915,11,6,18,30,0.0,,-38.630000000000003,-12.67,,,,0.0,,4.0,,
,,1917,5,5,7,50,0.0,,-41.5,-21.600000000000001,,,,0.0,,4.5,,
,,1917,11,7,23,25,0.0,,-38.659999999999997,-12.48,,,,0.0,,4.2999999999999998,,
,,1918,1,1,0,0,0.0,,-46.619999999999997,-23.530000000000001,,,,0.0,,3.0,,
,,1918,1,12,11,0,0.0,,-38.619999999999997,-12.449999999999999,,,,0.0,,3.7000000000000002,,
,,1919,6,5,4,20,0.0,,-44.75,-21.030000000000001,,,,0.0,,3.2000000000000002,,
,,1919,9,1,0,0,0.0,,-46.850000000000001,-17.300000000000001,,,,0.0,,2.7999999999999998,,
,,1919,11,23,4,20,0.0,,-38.619999999999997,-12.65,,,,0.0,,4.2000000000000002,,
,,1919,11,24,6,0,0.0,,-38.920000000000002,-3.8700000000000001,,,,0.0,,4.5,,
,,1920,1,31,11,10,0.0,,-44.75,-21.030000000000001,,,,0.0,,4.0,,
,,1922,1,27,6,50,0.0,,-47.039999999999999,-22.170000000000002,,,,0.0,,5.0999999999999996,,
,,1924,1,1,0,0,0.0,,-35.960000000000001,-8.2799999999999994,,,,0.0,,3.0,,
,,1927,1,1,3,0,0.0,,-38.460000000000001,-6.04,,,,0.0,,3.0,,
,,1928,4,15,21,59,0.0,,-37.759999999999998,-4.5599999999999996,,,,0.0,,4.0,,
,,1928,6,8,21,30,0.0,,-39.359999999999999,-5.4199999999999999,,,,0.0,,3.6000000000000001,,
,,1935,1,2,1,12,0.0,,-60.0,-29.600000000000001,,,,0.0,,3.0,,
,,1935,10,21,10,40,0.0,,-44.75,-21.030000000000001,,,,0.0,,3.7000000000000002,,
,,1939,6,28,11,32,0.0,,-48.0,-29.0,,,,0.0,,5.5,,
,,1941,4,11,12,5,0.0,,-54.5,-16.100000000000001,,,,0.0,,4.4000000000000004,,
,,1942,1,1,18,30,0.0,,-40.840000000000003,-3.1000000000000001,,,,0.0,,3.0,,
,,1946,2,19,4,0,0.0,,-46.710000000000001,-21.309999999999999,,,,0.0,,3.0,,
,,1946,7,18,7,15,0.0,,-47.700000000000003,-25.100000000000001,,,,0.0,,4.5999999999999996,,
,,1946,10,7,20,25,0.0,,-48.479999999999997,-1.4399999999999999,,,,0.0,,2.7999999999999998,,
,,1947,1,1,0,0,0.0,,-46.579999999999998,-21.789999999999999,,,,0.0,,3.0,,
,,1947,12,15,19,5,0.0,,-57.899999999999999,-21.699999999999999,,,,0.0,,3.5,,
,,1948,1,21,16,47,0.0,,-58.0,-30.5,,,,0.0,,5.5,,
,,1948,5,1,0,0,0.0,,-49.969999999999999,-15.07,,,,0.0,,3.0,,
,,1949,12,31,0,0,0.0,,-36.240000000000002,-5.6900000000000004,,,,0.0,,3.8999999999999999,,
,,1950,2,27,11,58,0.0,,-46.710000000000001,-21.82,,,,0.0,,3.8999999999999999,,
,,1950,4,7,15,0,0.0,,-35.609999999999999,-5.9000000000000004,,,,0.0,,3.0,,
,,1951,4,24,0,0,0.0,,-51.840000000000003,3.8300000000000001,,,,0.0,,4.7000000000000002,,
,,1954,1,1,0,0,0.0,,-36.490000000000002,-9.9299999999999997,,,,0.0,,3.0,,
,,1955,1,31,5,3,0.0,,-57.350000000000001,-12.52,,,,0.0,,6.2000000000000002,,
,,1955,3,1,1,46,0.0,,-36.75,-19.84,,,,0.0,,6.0999999999999996,,
