year,month,day,hour,minute,second,latitude,longitude,depth,magnitude
2014,4,4,9,53,26,-20.6108,-70.6816,17.6,5.2
2014,4,4,9,38,55,-20.0341,-70.9385,10.6,5.2
2014,4,4,7,57,32,-19.9177,-71.1467,15.5,4.1
2014,4,4,7,42,20,-19.7935,-70.8327,19.1,4.1
2014,4,4,7,10,28,-20.5677,-70.8622,17.9,4.6
2014,4,4,6,6,31,-20.5905,-70.8956,22.1,4.5
2014,4,4,3,18,38,-20.651,-70.6567,18.5,4.7
2014,4,4,1,37,51,-20.6214,-70.7393,20,6.1
2014,4,3,23,37,51,-20.164,-70.6805,23.4,4.9
2014,4,3,23,13,20,-20.1758,-70.4515,30.4,4.1
2014,4,3,23,1,43,-20.3531,-70.5106,21.9,4.2
2014,4,3,18,56,12,-20.3514,-70.8194,10,5.1
2014,4,3,15,8,8,-20.5706,-70.9287,8.8,4.9
2014,4,3,14,34,5,-20.618,-71.0006,11.6,5.2
2014,4,3,11,50,47,-20.6434,-70.3516,29.7,4.6
2014,4,3,11,41,35,-20.1757,-71.1538,10.5,5.1
2014,4,3,9,47,57,-20.6132,-70.8951,10,4.9
2014,4,3,9,23,21,-20.5575,-70.7075,14.8,5.6
2014,4,3,9,8,58,-20.222,-70.4683,26.1,5
2014,4,3,8,44,4,-20.5041,-70.6525,22.7,4.7
2014,4,3,8,28,51,-19.9116,-71.0034,14.6,4.8
2014,4,3,7,38,13,-20.0783,-70.4372,10,4.8
2014,4,3,6,54,31,-20.6632,-70.667,17.8,4.9
2014,4,3,6,16,8,-18.9998,-69.3484,103,4.9
2014,4,3,5,51,44,-20.7733,-70.4011,26.8,5.5
2014,4,3,5,34,32,-20.4579,-70.5976,20.9,5.2
2014,4,3,5,26,16,-20.8068,-70.5485,24.3,6.2
2014,4,3,5,17,11,-19.8244,-70.9428,16.6,4.8
2014,4,3,4,53,37,-20.7466,-70.6891,10,4.9
2014,4,3,4,17,57,-20.6328,-70.8044,18.1,5.2
2014,4,3,4,4,45,-20.3814,-70.5926,19.9,4.5
2014,4,3,3,45,55,-19.8546,-70.7734,21.2,5.1
2014,4,3,3,40,32,-20.7551,-70.6485,31.4,4.9
2014,4,3,3,11,14,-20.6334,-70.7337,10,5.8
2014,4,3,2,56,6,-20.7223,-70.5815,16.7,5.6
2014,4,3,2,43,15,-20.4298,-70.1127,20,7.8
2014,4,3,2,41,14,-20.0744,-70.9515,14.6,4.9
2014,4,3,1,58,29,-20.2884,-70.5872,10,6.4
2014,4,3,0,1,16,-19.7251,-71.1653,19,5.1
2014,4,2,21,23,50,-20.3886,-70.6014,22.7,4.8
2014,4,2,20,42,49,-19.9872,-70.9746,17.6,4.6
2014,4,2,20,34,38,-19.6344,-71.4872,13.4,4.6
2014,4,2,19,57,49,-20.0487,-71.0786,14.9,4.3
2014,4,2,19,45,50,-20.4121,-70.5301,24.1,5.1
2014,4,2,18,56,54,-19.8863,-70.8929,14,4.5
2014,4,2,17,21,52,-20.1058,-70.9942,18.8,4
2014,4,2,17,12,29,-19.778,-70.3483,20.3,4.9
2014,4,2,15,44,1,-19.7575,-70.7403,10,4.5
2014,4,2,15,32,0,-19.8112,-70.6467,22.1,4
2014,4,2,13,0,55,-19.8004,-70.7928,10,4.5
2014,4,2,12,30,25,-19.8862,-70.7691,10,4.4
2014,4,2,11,53,10,-20.06,-70.8563,10,4.2
2014,4,2,11,11,33,-20.0389,-71.0005,10,5.1
2014,4,2,11,7,30,-19.961,-70.9859,10,5.4
2014,4,2,8,25,50,-20.1976,-70.8631,10,5
2014,4,2,7,3,40,-20.1048,-70.3771,10,5.1
2014,4,2,6,29,15,-20.1265,-70.8777,10,5.2
2014,4,2,6,4,10,-19.6134,-70.3586,10,5.1
2014,4,2,5,51,0,-19.9239,-70.9826,10,5
