eventID,Agency,year,month,day,hour,minute,second,timeError,longitude,latitude,SemiMajor90,SemiMinor90,ErrorStrike,depth,depthError,magnitude,sigmaMagnitude,magnitudeType
,,1901,6,2,2,0,0.0,,-21.030000000000001,-44.75,,,,0.0,,3.0,,
,,1901,9,4,21,0,0.0,,-21.030000000000001,-44.75,,,,0.0,,3.0,,
,,1903,2,15,0,0,0.0,,-4.3799999999999999,-38.969999999999999,,,,0.0,,4.0999999999999996,,
,,1904,1,20,14,52,6.0,,-79.0,7.0,,,,35.0,,7.7999999999999998,,
,,1904,12,20,5,44,18.0,,-83.0,8.5,,,,35.0,,7.7999999999999998,,
,,1906,1,31,15,36,0.0,,-81.5,1.0,,,,35.0,,8.5999999999999996,,
,,1906,8,17,0,40,0.0,,-72.0,-33.0,,,,35.0,,8.4000000000000004,,
,,1906,9,28,15,24,54.0,,-79.0,-2.0,,,,150.0,,7.5,,
,,1906,10,25,2,52,0.0,,-19.0,-57.640000000000001,,,,0.0,,4.2000000000000002,,
,,1906,12,3,22,59,24.0,,-61.0,15.0,,,,100.0,,7.5,,
,,1906,12,4,11,0,0.0,,-20.949999999999999,-43.799999999999997,,,,0.0,,3.2000000000000002,,
,,1909,5,17,8,2,54.0,,-64.0,-20.0,,,,250.0,,7.0999999999999996,,
,,1909,6,8,5,46,30.0,,-70.5,-26.5,,,,35.0,,7.5999999999999996,,
,,1909,12,23,0,0,0.0,,-2.4100000000000001,-44.420000000000002,,,,0.0,,3.0,,
,,1910,1,1,11,2,0.0,,-84.0,16.5,,,,60.0,,7.0999999999999996,,
,,1910,1,23,18,49,42.0,,-60.5,12.0,,,,100.0,,7.2000000000000002,,
,,1910,10,4,23,0,6.0,,-69.0,-22.0,,,,120.0,,7.2000000000000002,,
,,1911,3,22,18,0,0.0,,-12.92,-38.670000000000002,,,,0.0,,4.4000000000000004,,
,,1911,4,10,18,42,24.0,,-74.0,9.0,,,,100.0,,7.2000000000000002,,
,,1911,4,28,9,52,54.0,,-71.0,0.0,,,,600.0,,7.0999999999999996,,
,,1911,9,15,13,10,0.0,,-72.0,-20.0,,,,35.0,,7.2999999999999998,,
,,1911,10,6,10,16,12.0,,-70.5,19.0,,,,35.0,,7.0,,
,,1912,4,19,8,0,0.0,,-13.199999999999999,-38.890000000000001,,,,0.0,,3.7000000000000002,,
,,1912,6,12,12,43,42.0,,-89.0,17.0,,,,35.0,,6.7999999999999998,,
,,1912,12,7,22,46,50.0,,-62.5,-29.0,,,,620.0,,7.5,,
,,1913,7,25,12,38,6.0,,-83.0,13.0,,,,35.0,,6.2999999999999998,,
,,1913,8,6,22,14,24.0,,-74.0,-17.0,,,,35.0,,7.7999999999999998,,
,,1914,1,30,3,36,0.0,,-73.0,-35.0,,,,35.0,,7.5999999999999996,,
,,1914,2,26,4,58,12.0,,-67.0,-18.0,,,,130.0,,7.2000000000000002,,
