year,month,day,hour,minute,second,latitude,longitude,depth,magnitude
2011,08,31,11,22,33,21.7105,121.1142,27.3,4.8
2011,08,30,16,15,51,20.5059,120.8728,29,4.8
2011,08,25,09,35,10,23.0948,121.9953,4.4,4.4
2011,08,24,13,15,14,23.7542,121.9404,18.2,4.2
2011,08,22,04,16,39,23.9597,122.3229,15.9,3.9
2011,08,11,22,07,32,23.791,121.6444,33.3,4.4
2011,08,11,16,48,58,22.801,121.344,23,3.7
2011,08,10,19,25,53,23.3904,121.763,26.9,4.2
2011,08,08,22,26,16,24.1932,123.3614,12.4,3.8
2011,08,08,04,56,04,24.4412,123.9494,14.7,3.8
2011,08,05,18,25,44,23.9893,122.4423,7.7,4.8
2011,08,05,06,52,38,23.9828,122.4129,12,4.7
2011,08,02,11,02,11,23.9488,122.649,17.4,3.8
2011,07,20,06,12,17,24.048,122.2816,26.2,4.6
2011,07,19,14,01,09,23.9848,121.6227,15.3,4.5
2011,07,18,14,48,53,23.5769,122.3604,14.9,5
2011,07,17,18,45,23,23.785,121.6425,27.9,4.6
2011,07,14,21,12,18,24.2442,121.796,14.6,4.1
2011,07,13,07,19,40,25.0366,123.7996,118.2,5.2
2011,07,12,11,17,11,23.4961,121.5808,34,5
2011,07,08,19,40,54,24.3793,121.9666,17.5,4
2011,07,07,16,07,04,24.1881,121.8204,17.3,4.2
2011,07,07,15,52,19,24.2155,121.8287,14.3,4.5
2011,07,07,14,46,57,21.8442,121.761,15.4,4
2011,07,06,17,55,54,24.2085,121.8505,14.7,4.2
2011,07,06,11,58,59,24.2062,121.802,13.7,4.7
2011,07,06,05,22,57,24.2257,121.8334,18.1,4.6
2011,07,03,12,30,44,24.6816,121.9216,76.6,4.2
2011,07,02,10,04,07,22.0267,121.5979,10.4,4.6
2011,06,30,23,55,08,23.4616,123.5883,28.8,4
2011,06,30,22,47,27,23.8505,121.8475,44.1,4.1
2011,06,26,00,31,20,24.1726,122.0422,18.7,4.1
2011,06,20,01,06,32,22.407,121.5093,4,4.1
2011,06,19,10,18,55,24.7131,121.8707,80.3,4.3
2011,06,19,08,18,38,21.976,121.547,17.5,4.3
2011,06,18,17,19,45,23.9107,122.5134,18.2,4.1
2011,06,18,16,54,05,22.0052,121.5603,12.7,4.3
2011,06,17,13,20,03,24.459,122.2418,2.8,3.6
2011,06,16,15,32,54,24.8245,121.8359,16.3,3.7
2011,06,10,01,25,22,23.5665,121.6904,35.4,4.5
2011,06,02,18,08,53,23.612,120.6613,16.9,3.7
2011,06,02,17,07,54,22.2598,121.4529,43.4,5
2011,05,10,16,30,55,20.6607,122.3988,35,4.4
2011,05,07,19,40,26,22.2743,123.9126,26.5,4.4
2011,05,07,08,35,33,24.436,122.0332,2,4.2
2011,05,06,21,31,51,23.1732,121.537,25,4.4
2011,05,03,19,20,01,23.971,121.623,7.7,2.6
2011,05,03,15,52,34,23.9207,121.779,40.7,4.7
2011,05,03,05,48,27,21.9357,121.0012,46.9,4.1
2011,05,02,08,23,22,24.6872,122.4949,3.1,3.9
2011,04,30,08,35,38,24.6669,121.8587,75.3,5.1
2011,04,29,13,12,47,21.1972,122.0294,194.9,5.3
2011,04,26,23,47,56,22.459,120.437,29.9,2.9
2011,04,26,03,16,25,20.4549,120.1263,23.3,4.9
2011,04,24,22,53,38,21.0399,121.0727,31.2,4.9
2011,04,22,06,25,29,23.922,121.457,18.2,2.8
2011,04,20,01,35,57,22.0018,121.7513,10,4.1
2011,04,20,01,19,45,23.9005,122.3541,15.9,3.8
2011,04,17,21,48,37,25.1631,124.5096,105,4.3
2011,04,16,12,48,58,24.4314,121.7756,9,3.7
2011,04,16,01,11,10,25.3609,124.031,139.7,5.8
2011,04,11,07,49,03,24.0961,122.2722,18.7,3.9
2011,04,09,16,25,27,23.9307,122.293,12.4,4
2011,04,06,17,13,59,24.2522,123.4702,44.3,4
2011,03,31,08,45,06,22.0921,121.7372,6.7,4.5
2011,03,30,04,22,32,23.9146,121.5718,20.5,4.4
2011,03,29,10,48,21,23.2324,124.629,30.8,5.4
2011,03,27,11,25,39,23.9832,123.5154,30.7,4.2
2011,03,20,08,00,51,22.4255,121.4755,26.4,5.4
2011,03,18,21,56,46,24.4529,121.9796,13,3.8
2011,03,18,11,12,23,24.1491,121.8222,12.6,4.1
2011,03,14,17,21,56,22.2354,121.5,12.3,4.4
2011,02,22,06,13,13,23.9485,123.4003,23.4,4.2
2011,02,19,20,35,16,24.7276,122.5089,4.3,4.3
2011,02,15,07,18,19,21.1227,121.1859,39.5,5.5
2011,02,13,00,49,44,25.276,122.2845,209.4,4.2
2011,02,10,13,01,55,24.6738,122.5174,107.1,4
2011,02,07,05,55,02,24.1066,121.7014,12.1,4.2
2011,02,06,21,07,23,24.2014,121.787,17.5,3.9
2011,02,05,12,46,31,24.6525,122.0809,69,4
2011,02,01,08,16,31,24.1813,121.8563,12.9,5.3
2011,01,31,22,44,28,24.2443,122.3043,52.1,4
2011,01,31,20,53,14,24.1846,121.8743,15.5,4.7
2011,01,28,21,11,17,23.1087,124.8991,24,3.9
2011,01,25,11,36,13,23.9644,122.4155,6.6,4.6
2011,01,12,03,53,09,24.3623,122.0686,28.3,4.4
2011,01,11,01,46,43,24.9212,122.2863,11.3,3.8
2011,01,01,06,26,40,24.9143,123.9886,13.2,3.8
2011,01,01,06,20,08,24.96,123.98,5,4
2010,12,13,16,19,16,25.5138,123.4277,182,3.9
2010,12,09,20,42,06,21.2013,121.9978,175,4.3
2010,12,08,04,44,43,24.0136,122.3292,17.6,4.1
