X,Y,#EventID,year,month,dayThour,minute,second,latitude,longitude,depth,Author,Catalog,Contributor,ContributorID,MagType,magnitude,MagAuthor,EventLocationName
121.1142,21.7105,3321271,2011,08,31T11,22,33,21.7105,121.1142,27.3,ISC,ISC,ISC,3202584,Mw,4.8,NIED,TAIWAN REGION
120.8728,20.5059,3321250,2011,08,30T16,15,51,20.5059,120.8728,29,ISC,ISC,ISC,3202491,MW,4.8,GCMT,PHILIPPINE ISLANDS REGION
121.9953,23.0948,3321032,2011,08,25T09,35,10,23.0948,121.9953,4.4,ISC,ISC,ISC,3201761,Mw,4.4,NIED,TAIWAN
121.9404,23.7542,3321916,2011,08,24T13,15,14,23.7542,121.9404,18.2,ISC,ISC,ISC,3201640,Mw,4.2,NIED,TAIWAN
122.3229,23.9597,3322045,2011,08,22T04,16,39,23.9597,122.3229,15.9,ISC,ISC,ISC,3201320,Mw,3.9,NIED,TAIWAN REGION
121.6444,23.791,3320837,2011,08,11T22,07,32,23.791,121.6444,33.3,ISC,ISC,ISC,3200109,Mw,4.4,NIED,TAIWAN
121.344,22.801,4571561,2011,08,11T16,48,58,22.801,121.344,23,ISC,ISC,ISC,3200069,Mw,3.7,NIED,TAIWAN REGION
121.763,23.3904,4570498,2011,08,10T19,25,53,23.3904,121.763,26.9,ISC,ISC,ISC,3199963,Mw,4.2,NIED,TAIWAN
123.3614,24.1932,4568107,2011,08,08T22,26,16,24.1932,123.3614,12.4,ISC,ISC,ISC,3199731,Mw,3.8,NIED,SOUTHWESTERN RYUKYU ISLANDS
123.9494,24.4412,4567155,2011,08,08T04,56,04,24.4412,123.9494,14.7,ISC,ISC,ISC,3199656,Mw,3.8,NIED,SOUTHWESTERN RYUKYU ISLANDS
122.4423,23.9893,3321994,2011,08,05T18,25,44,23.9893,122.4423,7.7,ISC,ISC,ISC,3199369,Mw,4.8,NIED,TAIWAN REGION
122.4129,23.9828,3320224,2011,08,05T06,52,38,23.9828,122.4129,12,ISC,ISC,ISC,3199307,Mw,4.7,NIED,TAIWAN REGION
122.649,23.9488,4560243,2011,08,02T11,02,11,23.9488,122.649,17.4,ISC,ISC,ISC,3198949,Mw,3.8,NIED,TAIWAN REGION
122.2816,24.048,3318283,2011,07,20T06,12,17,24.048,122.2816,26.2,ISC,ISC,ISC,3000738,Mw,4.6,NIED,TAIWAN REGION
121.6227,23.9848,3318278,2011,07,19T14,01,09,23.9848,121.6227,15.3,ISC,ISC,ISC,3000646,Mw,4.5,NIED,TAIWAN
122.3604,23.5769,3318203,2011,07,18T14,48,53,23.5769,122.3604,14.9,ISC,ISC,ISC,3000531,MW,5,GCMT,TAIWAN REGION
