Longitude,Latitude,Depth,m_min,m_bin,a0_value
-79.75000,-36.75000,0.000,3.00,0.50,-2.215944e+00
-79.25000,-36.75000,0.000,3.00,0.50,-2.212744e+00
-78.75000,-36.75000,0.000,3.00,0.50,-2.209499e+00
-78.25000,-36.75000,0.000,3.00,0.50,-2.206207e+00
-77.75000,-36.75000,0.000,3.00,0.50,-2.202867e+00
-77.25000,-36.75000,0.000,3.00,0.50,-2.199477e+00
-76.75000,-36.75000,0.000,3.00,0.50,-2.196037e+00
-76.25000,-36.75000,0.000,3.00,0.50,-2.192545e+00
-75.75000,-36.75000,0.000,3.00,0.50,-2.043543e+00
-75.25000,-36.75000,0.000,3.00,0.50,-2.039964e+00
-74.75000,-36.75000,0.000,3.00,0.50,-2.036328e+00
-74.25000,-36.75000,0.000,3.00,0.50,-2.032636e+00
-73.75000,-36.75000,0.000,3.00,0.50,-2.028886e+00
-73.25000,-36.75000,0.000,3.00,0.50,-2.025075e+00
-72.75000,-36.75000,0.000,3.00,0.50,-2.021203e+00
-72.25000,-36.75000,0.000,3.00,0.50,-2.017269e+00
-71.75000,-36.75000,0.000,3.00,0.50,-1.606435e+00
-71.25000,-36.75000,0.000,3.00,0.50,-1.602027e+00
-70.75000,-36.75000,0.000,3.00,0.50,-1.597607e+00
-70.25000,-36.75000,0.000,3.00,0.50,-1.593185e+00
-69.75000,-36.75000,0.000,3.00,0.50,-1.588768e+00
-69.25000,-36.75000,0.000,3.00,0.50,-1.584365e+00
-68.75000,-36.75000,0.000,3.00,0.50,-1.579988e+00
-68.25000,-36.75000,0.000,3.00,0.50,-1.575646e+00
-67.75000,-36.75000,0.000,3.00,0.50,-1.571355e+00
-67.25000,-36.75000,0.000,3.00,0.50,-1.567126e+00
-66.75000,-36.75000,0.000,3.00,0.50,-1.562976e+00
-66.25000,-36.75000,0.000,3.00,0.50,-1.558921e+00
-65.75000,-36.75000,0.000,3.00,0.50,-1.367753e+00
-65.25000,-36.75000,0.000,3.00,0.50,-1.364512e+00
-64.75000,-36.75000,0.000,3.00,0.50,-1.361432e+00
-64.25000,-36.75000,0.000,3.00,0.50,-1.358527e+00
-63.75000,-36.75000,0.000,3.00,0.50,-1.228114e+00
-63.25000,-36.75000,0.000,3.00,0.50,-1.224685e+00
-62.75000,-36.75000,0.000,3.00,0.50,-1.221383e+00
-62.25000,-36.75000,0.000,3.00,0.50,-1.218217e+00
-61.75000,-36.75000,0.000,3.00,0.50,-1.053084e+00
-61.25000,-36.75000,0.000,3.00,0.50,-1.047249e+00
-60.75000,-36.75000,0.000,3.00,0.50,-1.041239e+00
-60.25000,-36.75000,0.000,3.00,0.50,-1.035012e+00
-59.75000,-36.75000,0.000,3.00,0.50,-1.028515e+00
-59.25000,-36.75000,0.000,3.00,0.50,-1.021680e+00
-58.75000,-36.75000,0.000,3.00,0.50,-1.014419e+00
-58.25000,-36.75000,0.000,3.00,0.50,-1.006620e+00
