Longitude,Latitude,Smoothed Rate
-80.00000,-37.00000,-6.24944e+00
-80.00000,-36.00000,-6.22905e+00
-80.00000,-35.00000,-6.20865e+00
-80.00000,-34.00000,-6.18809e+00
-80.00000,-33.00000,-6.16750e+00
-80.00000,-32.00000,-6.14782e+00
-80.00000,-31.00000,-6.12872e+00
-80.00000,-30.00000,-6.10962e+00
-80.00000,-29.00000,-6.09062e+00
-80.00000,-28.00000,-6.07226e+00
-80.00000,-27.00000,-6.05441e+00
-80.00000,-26.00000,-6.03680e+00
-80.00000,-25.00000,-6.02001e+00
-80.00000,-24.00000,-6.00387e+00
-80.00000,-23.00000,-5.98837e+00
-80.00000,-22.00000,-5.97336e+00
-80.00000,-21.00000,-5.95907e+00
-80.00000,-20.00000,-5.94569e+00
-80.00000,-19.00000,-5.93306e+00
-80.00000,-18.00000,-5.92144e+00
-80.00000,-17.00000,-5.91058e+00
-80.00000,-16.00000,-5.90051e+00
-80.00000,-15.00000,-5.89170e+00
-80.00000,-14.00000,-5.88392e+00
-80.00000,-13.00000,-5.87713e+00
-80.00000,-12.00000,-5.87151e+00
-80.00000,-11.00000,-5.86691e+00
-80.00000,-10.00000,-5.86357e+00
-80.00000,-9.00000,-5.86112e+00
-80.00000,-8.00000,-5.86017e+00
-80.00000,-7.00000,-5.86017e+00
-80.00000,-6.00000,-5.86148e+00
-80.00000,-5.00000,-5.86390e+00
-80.00000,-4.00000,-5.86737e+00
-80.00000,-3.00000,-5.87213e+00
-80.00000,-2.00000,-5.87807e+00
-80.00000,-1.00000,-5.88503e+00
-80.00000,0.00000,-5.89304e+00
-80.00000,1.00000,-5.90206e+00
-80.00000,2.00000,-5.91261e+00
-80.00000,3.00000,-5.92436e+00
-80.00000,4.00000,-5.93654e+00
-80.00000,5.00000,-5.94932e+00
-80.00000,6.00000,-5.96326e+00
-80.00000,7.00000,-5.97807e+00
-80.00000,8.00000,-5.99332e+00
-80.00000,9.00000,-6.00934e+00
-80.00000,10.00000,-6.02603e+00
-80.00000,11.00000,-6.04337e+00
-80.00000,12.00000,-6.06121e+00
-79.00000,-37.00000,-6.01205e+00
-79.00000,-36.00000,-5.98503e+00
-79.00000,-35.00000,-5.95791e+00
-79.00000,-34.00000,-5.93066e+00
-79.00000,-33.00000,-5.90331e+00
-79.00000,-32.00000,-5.87635e+00
-79.00000,-31.00000,-5.84915e+00
-79.00000,-30.00000,-5.82234e+00
-79.00000,-29.00000,-5.79597e+00
-79.00000,-28.00000,-5.76966e+00
-79.00000,-27.00000,-5.74368e+00
-79.00000,-26.00000,-5.71826e+00
-79.00000,-25.00000,-5.69339e+00
-79.00000,-24.00000,-5.66893e+00
-79.00000,-23.00000,-5.64539e+00
