Longitude,Latitude,Depth,M_min,M_bin,Smoothed Rate
-80.00000,-37.00000,0.00000,3.00000,0.50000,1.959e-06 5.329e-06 6.47e-06 3.97e-06 1.31e-05 1.104e-06 1.231e-07 0.0
-80.00000,-36.00000,0.00000,3.00000,0.50000,1.98e-06 5.416e-06 6.603e-06 4.076e-06 1.341e-05 1.107e-06 1.235e-07 0.0
-80.00000,-35.00000,0.00000,3.00000,0.50000,2.009e-06 5.504e-06 6.738e-06 4.185e-06 1.372e-05 1.11e-06 1.238e-07 0.0
-80.00000,-34.00000,0.00000,3.00000,0.50000,2.039e-06 5.605e-06 6.876e-06 4.296e-06 1.403e-05 1.113e-06 1.242e-07 0.0
-80.00000,-33.00000,0.00000,3.00000,0.50000,2.061e-06 5.696e-06 7.037e-06 4.408e-06 1.435e-05 1.116e-06 1.245e-07 0.0
-80.00000,-32.00000,0.00000,3.00000,0.50000,2.083e-06 5.788e-06 7.179e-06 4.521e-06 1.467e-05 1.118e-06 1.248e-07 0.0
-80.00000,-31.00000,0.00000,3.00000,0.50000,2.104e-06 5.88e-06 7.322e-06 4.636e-06 1.498e-05 1.121e-06 1.251e-07 0.0
-80.00000,-30.00000,0.00000,3.00000,0.50000,2.126e-06 5.973e-06 7.467e-06 4.751e-06 1.53e-05 1.123e-06 1.254e-07 0.0
-80.00000,-29.00000,0.00000,3.00000,0.50000,2.156e-06 6.066e-06 7.613e-06 4.867e-06 1.562e-05 1.125e-06 1.256e-07 0.0
-80.00000,-28.00000,0.00000,3.00000,0.50000,2.185e-06 6.16e-06 7.759e-06 4.982e-06 1.593e-05 1.127e-06 1.259e-07 0.0
-80.00000,-27.00000,0.00000,3.00000,0.50000,2.207e-06 6.253e-06 7.905e-06 5.098e-06 1.624e-05 1.129e-06 1.261e-07 0.0
-80.00000,-26.00000,0.00000,3.00000,0.50000,2.236e-06 6.345e-06 8.051e-06 5.212e-06 1.655e-05 1.13e-06 1.263e-07 0.0
-80.00000,-25.00000,0.00000,3.00000,0.50000,2.256e-06 6.436e-06 8.197e-06 5.325e-06 1.685e-05 1.131e-06 1.265e-07 0.0
-80.00000,-24.00000,0.00000,3.00000,0.50000,2.276e-06 6.526e-06 8.341e-06 5.436e-06 1.714e-05 1.132e-06 1.267e-07 0.0
-80.00000,-23.00000,0.00000,3.00000,0.50000,2.296e-06 6.615e-06 8.483e-06 5.544e-06 1.742e-05 1.133e-06 1.269e-07 0.0
-80.00000,-22.00000,0.00000,3.00000,0.50000,2.315e-06 6.7e-06 8.622e-06 5.649e-06 1.77e-05 1.134e-06 1.27e-07 0.0
-80.00000,-21.00000,0.00000,3.00000,0.50000,2.333e-06 6.783e-06 8.758e-06 5.75e-06 1.797e-05 1.134e-06 1.271e-07 0.0
-80.00000,-20.00000,0.00000,3.00000,0.50000,2.35e-06 6.863e-06 8.89e-06 5.847e-06 1.822e-05 1.135e-06 1.273e-07 0.0
-80.00000,-19.00000,0.00000,3.00000,0.50000,2.367e-06 6.939e-06 9.017e-06 5.939e-06 1.846e-05 1.135e-06 1.274e-07 0.0
-80.00000,-18.00000,0.00000,3.00000,0.50000,2.382e-06 7.01e-06 9.139e-06 6.025e-06 1.868e-05 1.135e-06 1.275e-07 0.0
-80.00000,-17.00000,0.00000,3.00000,0.50000,2.396e-06 7.077e-06 9.255e-06 6.105e-06 1.889e-05 1.134e-06 1.276e-07 0.0
-80.00000,-16.00000,0.00000,3.00000,0.50000,2.409e-06 7.138e-06 9.363e-06 6.178e-06 1.909e-05 1.134e-06 1.276e-07 0.0
-80.00000,-15.00000,0.00000,3.00000,0.50000,2.42e-06 7.194e-06 9.464e-06 6.243e-06 1.926e-05 1.133e-06 1.277e-07 0.0
-80.00000,-14.00000,0.00000,3.00000,0.50000,2.43e-06 7.243e-06 9.556e-06 6.301e-06 1.941e-05 1.132e-06 1.277e-07 0.0
-80.00000,-13.00000,0.00000,3.00000,0.50000,2.43e-06 7.286e-06 9.64e-06 6.35e-06 1.955e-05 1.131e-06 1.277e-07 0.0
-80.00000,-12.00000,0.00000,3.00000,0.50000,2.437e-06 7.321e-06 9.713e-06 6.389e-06 1.966e-05 1.129e-06 1.277e-07 0.0
-80.00000,-11.00000,0.00000,3.00000,0.50000,2.442e-06 7.349e-06 9.776e-06 6.42e-06 1.975e-05 1.128e-06 1.277e-07 0.0
-80.00000,-10.00000,0.00000,3.00000,0.50000,2.437e-06 7.37e-06 9.828e-06 6.441e-06 1.982e-05 1.126e-06 1.277e-07 0.0
-80.00000,-9.00000,0.00000,3.00000,0.50000,2.439e-06 7.383e-06 9.869e-06 6.453e-06 1.987e-05 1.124e-06 1.276e-07 0.0
-80.00000,-8.00000,0.00000,3.00000,0.50000,2.431e-06 7.388e-06 9.898e-06 6.454e-06 1.989e-05 1.122e-06 1.275e-07 0.0
-80.00000,-7.00000,0.00000,3.00000,0.50000,2.429e-06 7.384e-06 9.915e-06 6.446e-06 1.989e-05 1.119e-06 1.275e-07 0.0
-80.00000,-6.00000,0.00000,3.00000,0.50000,2.425e-06 7.361e-06 9.92e-06 6.428e-06 1.987e-05 1.117e-06 1.274e-07 0.0
-80.00000,-5.00000,0.00000,3.00000,0.50000,2.419e-06 7.342e-06 9.912e-06 6.4e-06 1.982e-05 1.114e-06 1.273e-07 0.0
-80.00000,-4.00000,0.00000,3.00000,0.50000,2.412e-06 7.315e-06 9.893e-06 6.363e-06 1.975e-05 1.111e-06 1.271e-07 0.0
-80.00000,-3.00000,0.00000,3.00000,0.50000,2.403e-06 7.281e-06 9.862e-06 6.317e-06 1.965e-05 1.108e-06 1.27e-07 0.0
-80.00000,-2.00000,0.00000,3.00000,0.50000,2.392e-06 7.225e-06 9.819e-06 6.263e-06 1.954e-05 1.105e-06 1.268e-07 0.0
-80.00000,-1.00000,0.00000,3.00000,0.50000,2.38e-06 7.177e-06 9.764e-06 6.2e-06 1.94e-05 1.101e-06 1.267e-07 0.0
-80.00000,0.00000,0.00000,3.00000,0.50000,2.366e-06 7.122e-06 9.699e-06 6.129e-06 1.924e-05 1.098e-06 1.265e-07 0.0
-80.00000,1.00000,0.00000,3.00000,0.50000,2.343e-06 7.062e-06 9.622e-06 6.052e-06 1.907e-05 1.094e-06 1.263e-07 0.0
-80.00000,2.00000,0.00000,3.00000,0.50000,2.319e-06 6.983e-06 9.537e-06 5.968e-06 1.887e-05 1.09e-06 1.261e-07 0.0
-80.00000,3.00000,0.00000,3.00000,0.50000,2.301e-06 6.898e-06 9.42e-06 5.878e-06 1.866e-05 1.086e-06 1.258e-07 0.0
-80.00000,4.00000,0.00000,3.00000,0.50000,2.275e-06 6.822e-06 9.316e-06 5.782e-06 1.843e-05 1.081e-06 1.256e-07 0.0
-80.00000,5.00000,0.00000,3.00000,0.50000,2.255e-06 6.742e-06 9.204e-06 5.682e-06 1.819e-05 1.077e-06 1.253e-07 0.0
-80.00000,6.00000,0.00000,3.00000,0.50000,2.226e-06 6.659e-06 9.086e-06 5.578e-06 1.793e-05 1.072e-06 1.25e-07 0.0
-80.00000,7.00000,0.00000,3.00000,0.50000,2.205e-06 6.561e-06 8.96e-06 5.471e-06 1.766e-05 1.067e-06 1.247e-07 0.0
-80.00000,8.00000,0.00000,3.00000,0.50000,2.182e-06 6.472e-06 8.83e-06 5.361e-06 1.738e-05 1.063e-06 1.244e-07 0.0
-80.00000,9.00000,0.00000,3.00000,0.50000,2.159e-06 6.381e-06 8.694e-06 5.249e-06 1.709e-05 1.057e-06 1.241e-07 0.0
-80.00000,10.00000,0.00000,3.00000,0.50000,2.136e-06 6.289e-06 8.554e-06 5.135e-06 1.679e-05 1.052e-06 1.238e-07 0.0
-80.00000,11.00000,0.00000,3.00000,0.50000,2.104e-06 6.195e-06 8.411e-06 5.02e-06 1.649e-05 1.047e-06 1.235e-07 0.0
-80.00000,12.00000,0.00000,3.00000,0.50000,2.08e-06 6.1e-06 8.266e-06 4.904e-06 1.618e-05 1.041e-06 1.231e-07 0.0
-79.00000,-37.00000,0.00000,3.00000,0.50000,2.539e-06 6.909e-06 8.222e-06 5.067e-06 1.638e-05 1.378e-06 1.487e-07 0.0
-79.00000,-36.00000,0.00000,3.00000,0.50000,2.577e-06 7.06e-06 8.447e-06 5.251e-06 1.689e-05 1.383e-06 1.492e-07 0.0
-79.00000,-35.00000,0.00000,3.00000,0.50000,2.615e-06 7.217e-06 8.681e-06 5.443e-06 1.741e-05 1.389e-06 1.498e-07 0.0
-79.00000,-34.00000,0.00000,3.00000,0.50000,2.663e-06 7.38e-06 8.923e-06 5.641e-06 1.794e-05 1.393e-06 1.503e-07 0.0
-79.00000,-33.00000,0.00000,3.00000,0.50000,2.704e-06 7.561e-06 9.173e-06 5.846e-06 1.848e-05 1.398e-06 1.508e-07 0.0
-79.00000,-32.00000,0.00000,3.00000,0.50000,2.745e-06 7.734e-06 9.431e-06 6.058e-06 1.903e-05 1.402e-06 1.512e-07 0.0
-79.00000,-31.00000,0.00000,3.00000,0.50000,2.787e-06 7.926e-06 9.697e-06 6.277e-06 1.959e-05 1.406e-06 1.517e-07 0.0
-79.00000,-30.00000,0.00000,3.00000,0.50000,2.83e-06 8.109e-06 9.972e-06 6.501e-06 2.016e-05 1.41e-06 1.521e-07 0.0
-79.00000,-29.00000,0.00000,3.00000,0.50000,2.874e-06 8.297e-06 1.025e-05 6.731e-06 2.073e-05 1.413e-06 1.525e-07 0.0
-79.00000,-28.00000,0.00000,3.00000,0.50000,2.918e-06 8.489e-06 1.054e-05 6.966e-06 2.131e-05 1.416e-06 1.529e-07 0.0
-79.00000,-27.00000,0.00000,3.00000,0.50000,2.963e-06 8.685e-06 1.084e-05 7.205e-06 2.189e-05 1.419e-06 1.532e-07 0.0
-79.00000,-26.00000,0.00000,3.00000,0.50000,3.008e-06 8.884e-06 1.114e-05 7.447e-06 2.247e-05 1.421e-06 1.536e-07 0.0
-79.00000,-25.00000,0.00000,3.00000,0.50000,3.053e-06 9.086e-06 1.144e-05 7.691e-06 2.305e-05 1.423e-06 1.539e-07 0.0
-79.00000,-24.00000,0.00000,3.00000,0.50000,3.098e-06 9.289e-06 1.175e-05 7.935e-06 2.363e-05 1.425e-06 1.542e-07 0.0
-79.00000,-23.00000,0.00000,3.00000,0.50000,3.143e-06 9.492e-06 1.206e-05 8.179e-06 2.419e-05 1.427e-06 1.544e-07 0.0
-79.00000,-22.00000,0.00000,3.00000,0.50000,3.187e-06 9.695e-06 1.24e-05 8.42e-06 2.474e-05 1.428e-06 1.547e-07 0.0
-79.00000,-21.00000,0.00000,3.00000,0.50000,3.23e-06 9.895e-06 1.271e-05 8.657e-06 2.528e-05 1.428e-06 1.549e-07 0.0
-79.00000,-20.00000,0.00000,3.00000,0.50000,3.272e-06 1.009e-05 1.302e-05 8.887e-06 2.58e-05 1.429e-06 1.551e-07 0.0
-79.00000,-19.00000,0.00000,3.00000,0.50000,3.313e-06 1.028e-05 1.332e-05 9.11e-06 2.63e-05 1.429e-06 1.553e-07 0.0
-79.00000,-18.00000,0.00000,3.00000,0.50000,3.351e-06 1.047e-05 1.362e-05 9.322e-06 2.678e-05 1.429e-06 1.554e-07 0.0
-79.00000,-17.00000,0.00000,3.00000,0.50000,3.387e-06 1.064e-05 1.39e-05 9.521e-06 2.723e-05 1.428e-06 1.555e-07 0.0
