Longitude,Latitude,Depth,Observed Count,Smoothed Rate,b-value
-79.50000,12.50000,15.000,8.72157e+01,2.61943e+00,1.0000
-78.50000,12.50000,15.000,0.00000e+00,2.66962e+00,1.0000
-77.50000,12.50000,15.000,0.00000e+00,2.69337e+00,1.0000
-76.50000,12.50000,15.000,0.00000e+00,2.58887e+00,1.0000
-75.50000,12.50000,15.000,8.72157e+01,2.39418e+00,1.0000
-74.50000,12.50000,15.000,0.00000e+00,2.32677e+00,1.0000
-73.50000,12.50000,15.000,1.30824e+02,2.43987e+00,1.0000
-72.50000,12.50000,15.000,1.30824e+02,2.52579e+00,1.0000
-71.50000,12.50000,15.000,2.18039e+02,2.60078e+00,1.0000
-70.50000,12.50000,15.000,5.23294e+02,2.71538e+00,1.0000
-69.50000,12.50000,15.000,2.18039e+02,2.70943e+00,1.0000
-68.50000,12.50000,15.000,0.00000e+00,2.53982e+00,1.0000
-67.50000,12.50000,15.000,4.36079e+01,2.35709e+00,1.0000
-66.50000,12.50000,15.000,8.72157e+01,2.24429e+00,1.0000
-65.50000,12.50000,15.000,0.00000e+00,2.26405e+00,1.0000
-64.50000,12.50000,15.000,4.36079e+01,2.44103e+00,1.0000
-63.50000,12.50000,15.000,0.00000e+00,2.68157e+00,1.0000
-62.50000,12.50000,15.000,0.00000e+00,2.88989e+00,1.0000
-61.50000,12.50000,15.000,1.30824e+02,3.06109e+00,1.0000
-60.50000,12.50000,15.000,1.39545e+03,3.12536e+00,1.0000
-59.50000,12.50000,15.000,1.00298e+03,2.99424e+00,1.0000
-58.50000,12.50000,15.000,3.48863e+02,2.67055e+00,1.0000
-57.50000,12.50000,15.000,8.72157e+01,2.21726e+00,1.0000
-56.50000,12.50000,15.000,4.36079e+01,1.68819e+00,1.0000
-55.50000,12.50000,15.000,0.00000e+00,1.13165e+00,1.0000
-54.50000,12.50000,15.000,0.00000e+00,7.34640e-01,1.0000
-53.50000,12.50000,15.000,0.00000e+00,6.10922e-01,1.0000
-52.50000,12.50000,15.000,0.00000e+00,4.45433e-01,1.0000
-51.50000,12.50000,15.000,0.00000e+00,7.55804e-01,1.0000
-50.50000,12.50000,15.000,0.00000e+00,1.24383e+00,1.0000
-49.50000,12.50000,15.000,8.72157e+01,1.55117e+00,1.0000
-48.50000,12.50000,15.000,0.00000e+00,1.83575e+00,1.0000
-47.50000,12.50000,15.000,4.36079e+01,2.26990e+00,1.0000
-46.50000,12.50000,15.000,1.30824e+02,2.68538e+00,1.0000
-45.50000,12.50000,15.000,6.97726e+02,2.95872e+00,1.0000
-44.50000,12.50000,15.000,3.05255e+03,3.03794e+00,1.0000
-43.50000,12.50000,15.000,7.84941e+02,2.87656e+00,1.0000
-42.50000,12.50000,15.000,0.00000e+00,2.52333e+00,1.0000
-41.50000,12.50000,15.000,0.00000e+00,2.22782e+00,1.0000
-40.50000,12.50000,15.000,4.36079e+01,2.05620e+00,1.0000
-39.50000,12.50000,15.000,0.00000e+00,1.72052e+00,1.0000
-38.50000,12.50000,15.000,0.00000e+00,1.14960e+00,1.0000
