# gsimlt_path=b1,smlt_path=b1,imt=PGA,investigation_time=50.0
lon,lat,iml
-79.0017,0.407533,0.005
-79.0017,-0.590714,0.005
-79.0015,1.40578,0.005
-79.0014,-1.58896,0.005
-79.0009,2.40403,0.005
-79.0007,-2.58721,0.005
-79,3.40227,0.005
-78.9998,-3.58546,0.005
-78.9988,4.40052,0.005
-78.9986,-4.5837,0.005
-78.9973,5.39877,0.005
-78.997,-5.58195,0.005
-78.9955,6.39701,0.005
-78.9951,-6.5802,0.005
-78.9934,7.39526,0.005
-78.993,-7.57844,0.005
-78.9909,8.39351,0.005
-78.9905,-8.57669,0.005
-78.9882,9.39176,0.005
-78.9877,-9.57494,0.005
-78.9851,10.39,0.005
-78.9845,-10.5732,0.005
-78.9817,11.3882,0.005
-78.981,-11.5714,0.005
-78.978,12.3865,0.005
-78.9772,-12.5697,0.005
-78.9739,13.3847,0.005
-78.9731,-13.5679,0.005
-78.9686,-14.5662,0.005
-78.9638,-15.5644,0.005
-78.9586,-16.5627,0.005
-78.953,-17.5609,0.005
-78.947,-18.5592,0.005
-78.9406,-19.5574,0.005
-78.9339,-20.5557,0.005
-78.9267,-21.5539,0.005
-78.9191,-22.5521,0.005
-78.9111,-23.5504,0.005
-78.9026,-24.5486,0.005
-78.8936,-25.5469,0.005
-78.8841,-26.5451,0.005
-78.8742,-27.5434,0.005
-78.8637,-28.5416,0.005
-78.8526,-29.5399,0.005
-78.841,-30.5381,0.005
-78.8288,-31.5364,0.005
-78.816,-32.5346,0.005
-78.8025,-33.5329,0.005
-78.7883,-34.5311,0.005
-78.7734,-35.5294,0.005
-78.7578,-36.5276,0.005
-78.0035,0.407533,0.005
-78.0034,-0.590714,0.005
-78.0029,1.40578,0.005
-78.0027,-1.58896,0.005
-78.0017,2.40403,0.005
-78.0015,-2.58721,0.005
-78,3.40227,0.005
-77.9996,-3.58546,0.005
-77.9976,4.40052,0.005
-77.9971,-4.5837,0.005
-77.9946,5.39877,0.005
-77.994,-5.58195,0.005
-77.991,6.39701,0.005
-77.9903,-6.5802,0.005
-77.9868,7.39526,0.005
-77.9859,-7.57844,0.005
-77.9819,8.39351,0.005
-77.9809,-8.57669,0.005
-77.9764,9.39176,0.005
-77.9753,-9.57494,0.005
-77.9702,10.39,0.005
-77.969,-10.5732,0.005
-77.9634,11.3882,0.005
-77.9621,-11.5714,0.005
-77.9559,12.3865,0.005
-77.9545,-12.5697,0.005
-77.9478,13.3847,0.005
-77.9462,-13.5679,0.005
-77.9372,-14.5662,0.005
-77.9275,-15.5644,0.005
-77.9171,-16.5627,0.005
-77.9059,-17.5609,0.005
-77.894,-18.5592,0.005
-77.8813,-19.5574,0.005
-77.8678,-20.5557,0.005
-77.8534,-21.5539,0.005
-77.8382,-22.5521,0.005
-77.8221,-23.5504,0.005
