Longitude,Latitude,Rate
-80.00000,-37.00000,0.003
-79.00000,-37.00000,0.003
-78.00000,-37.00000,0.003
-77.00000,-37.00000,0.003
-76.00000,-37.00000,0.004
-75.00000,-37.00000,0.004
-74.00000,-37.00000,0.004
-73.00000,-37.00000,0.004
-72.00000,-37.00000,0.005
-71.00000,-37.00000,0.005
-70.00000,-37.00000,0.006
-69.00000,-37.00000,0.006
-68.00000,-37.00000,0.007
-67.00000,-37.00000,0.008
-66.00000,-37.00000,0.009
-65.00000,-37.00000,0.009
-64.00000,-37.00000,0.010
-63.00000,-37.00000,0.011
-62.00000,-37.00000,0.013
-61.00000,-37.00000,0.015
-60.00000,-37.00000,0.017
-59.00000,-37.00000,0.018
-58.00000,-37.00000,0.019
-57.00000,-37.00000,0.019
-56.00000,-37.00000,0.019
-55.00000,-37.00000,0.019
-54.00000,-37.00000,0.021
-53.00000,-37.00000,0.023
-52.00000,-37.00000,0.024
-51.00000,-37.00000,0.023
-50.00000,-37.00000,0.023
-49.00000,-37.00000,0.022
-48.00000,-37.00000,0.022
-47.00000,-37.00000,0.023
-46.00000,-37.00000,0.022
-45.00000,-37.00000,0.021
-44.00000,-37.00000,0.020
-43.00000,-37.00000,0.018
-42.00000,-37.00000,0.017
-41.00000,-37.00000,0.015
-40.00000,-37.00000,0.013
-39.00000,-37.00000,0.012
-38.00000,-37.00000,0.010
-37.00000,-37.00000,0.009
-36.00000,-37.00000,0.008
-35.00000,-37.00000,0.007
-34.00000,-37.00000,0.005
-33.00000,-37.00000,0.005
-32.00000,-37.00000,0.004
-31.00000,-37.00000,0.003
-80.00000,-36.00000,0.003
-79.00000,-36.00000,0.003
-78.00000,-36.00000,0.003
-77.00000,-36.00000,0.004
-76.00000,-36.00000,0.004
-75.00000,-36.00000,0.004
-74.00000,-36.00000,0.005
-73.00000,-36.00000,0.005
-72.00000,-36.00000,0.006
-71.00000,-36.00000,0.006
-70.00000,-36.00000,0.007
-69.00000,-36.00000,0.008
-68.00000,-36.00000,0.009
-67.00000,-36.00000,0.010
-66.00000,-36.00000,0.011
-65.00000,-36.00000,0.012
-64.00000,-36.00000,0.013
-63.00000,-36.00000,0.014
-62.00000,-36.00000,0.015
-61.00000,-36.00000,0.017
-60.00000,-36.00000,0.018
-59.00000,-36.00000,0.019
-58.00000,-36.00000,0.020
-57.00000,-36.00000,0.021
-56.00000,-36.00000,0.023
-55.00000,-36.00000,0.024
-54.00000,-36.00000,0.025
-53.00000,-36.00000,0.025
-52.00000,-36.00000,0.026
-51.00000,-36.00000,0.027
-50.00000,-36.00000,0.027
-49.00000,-36.00000,0.027
-48.00000,-36.00000,0.027
-47.00000,-36.00000,0.026
-46.00000,-36.00000,0.027
-45.00000,-36.00000,0.026
-44.00000,-36.00000,0.024
-43.00000,-36.00000,0.022
-42.00000,-36.00000,0.019
-41.00000,-36.00000,0.018
-40.00000,-36.00000,0.016
-39.00000,-36.00000,0.014
-38.00000,-36.00000,0.012
-37.00000,-36.00000,0.010
-36.00000,-36.00000,0.009
-35.00000,-36.00000,0.008
-34.00000,-36.00000,0.007
-33.00000,-36.00000,0.006
-32.00000,-36.00000,0.005
-31.00000,-36.00000,0.004
-80.00000,-35.00000,0.003
-79.00000,-35.00000,0.003
-78.00000,-35.00000,0.003
-77.00000,-35.00000,0.004
-76.00000,-35.00000,0.004
-75.00000,-35.00000,0.005
-74.00000,-35.00000,0.005
-73.00000,-35.00000,0.006
-72.00000,-35.00000,0.006
-71.00000,-35.00000,0.007
-70.00000,-35.00000,0.008
-69.00000,-35.00000,0.009
-68.00000,-35.00000,0.009
-67.00000,-35.00000,0.010
-66.00000,-35.00000,0.011
-65.00000,-35.00000,0.013
-64.00000,-35.00000,0.014
-63.00000,-35.00000,0.015
-62.00000,-35.00000,0.017
-61.00000,-35.00000,0.019
-60.00000,-35.00000,0.019
-59.00000,-35.00000,0.020
-58.00000,-35.00000,0.022
-57.00000,-35.00000,0.024
-56.00000,-35.00000,0.028
-55.00000,-35.00000,0.028
-54.00000,-35.00000,0.027
-53.00000,-35.00000,0.028
-52.00000,-35.00000,0.029
-51.00000,-35.00000,0.029
-50.00000,-35.00000,0.030
-49.00000,-35.00000,0.030
-48.00000,-35.00000,0.030
-47.00000,-35.00000,0.030
-46.00000,-35.00000,0.031
-45.00000,-35.00000,0.030
-44.00000,-35.00000,0.028
-43.00000,-35.00000,0.026
-42.00000,-35.00000,0.023
-41.00000,-35.00000,0.021
-40.00000,-35.00000,0.018
-39.00000,-35.00000,0.016
-38.00000,-35.00000,0.014
-37.00000,-35.00000,0.013
-36.00000,-35.00000,0.012
-35.00000,-35.00000,0.010
-34.00000,-35.00000,0.009
-33.00000,-35.00000,0.007
-32.00000,-35.00000,0.006
-31.00000,-35.00000,0.005
-80.00000,-34.00000,0.003
-79.00000,-34.00000,0.003
-78.00000,-34.00000,0.004
-77.00000,-34.00000,0.004
-76.00000,-34.00000,0.004
-75.00000,-34.00000,0.005
-74.00000,-34.00000,0.005
-73.00000,-34.00000,0.006
-72.00000,-34.00000,0.007
-71.00000,-34.00000,0.008
-70.00000,-34.00000,0.009
-69.00000,-34.00000,0.010
-68.00000,-34.00000,0.011
-67.00000,-34.00000,0.012
-66.00000,-34.00000,0.013
-65.00000,-34.00000,0.014
-64.00000,-34.00000,0.015
-63.00000,-34.00000,0.016
-62.00000,-34.00000,0.019
-61.00000,-34.00000,0.022
-60.00000,-34.00000,0.024
-59.00000,-34.00000,0.025
-58.00000,-34.00000,0.026
-57.00000,-34.00000,0.031
