# gsimlt_path=b1,smlt_path=b1,imt=PGA,investigation_time=475.0
lon,lat,iml
-48.9308,-20.9982,0.00809062
-48.9234,-21.9965,0.00829664
-48.9156,-22.9947,0.00833952
-48.9074,-23.993,0.0083415
-48.8987,-24.9912,0.00818003
-47.8615,-20.9982,0.00834837
-47.8468,-21.9965,0.0083514
-47.8312,-22.9947,0.00835059
-47.8147,-23.993,0.00845605
-47.7973,-24.9912,0.00954878
-46.7923,-20.9982,0.00835144
-46.7702,-21.9965,0.00835142
-46.7468,-22.9947,0.00832362
-46.7221,-23.993,0.0106348
-46.696,-24.9912,0.0223644
-45.723,-20.9982,0.00835137
-45.6936,-21.9965,0.00834931
-45.6624,-22.9947,0.00905917
-45.6295,-23.993,0.0142704
-45.5946,-24.9912,0.0666839
-44.6538,-20.9982,0.00835136
-44.617,-21.9965,0.00833725
-44.578,-22.9947,0.010989
-44.5368,-23.993,0.0317876
-44.4933,-24.9912,0.068284
-43.5846,-20.9982,0.00835138
-43.5404,-21.9965,0.00893627
-43.4936,-22.9947,0.0145777
-43.4442,-23.993,0.0659816
-43.392,-24.9912,0.0685102
-42.5153,-20.9982,0.0090246
-42.4638,-21.9965,0.0126625
-42.4092,-22.9947,0.0274986
-42.3515,-23.993,0.0681955
-42.2906,-24.9912,0.0680548
-41.4461,-20.9982,0.0150613
-41.3872,-21.9965,0.0366423
-41.3248,-22.9947,0.0676754
-41.2589,-23.993,0.0683612
-41.1893,-24.9912,0.0562687
-40.3769,-20.9982,0.0636405
-40.3106,-21.9965,0.0682295
-40.2405,-22.9947,0.0684566
-40.1663,-23.993,0.0659304
-40.0879,-24.9912,0.0139436
