# gsimlt_path=b1,smlt_path=b1,imt=PGA,investigation_time=50.0
lon,lat,iml
-79.0107,-0.446823,0.00965056
-79.0107,0.542431,0.00967292
-79.0104,-1.43608,0.00962748
-79.0104,1.53168,0.00969387
-79.0099,-2.42533,0.00960283
-79.0098,2.52094,0.00971341
-79.009,-3.41458,0.00957741
-79.0089,3.51019,0.00973311
-79.0078,-4.40384,0.00955105
-79.0077,4.49945,0.00975403
-79.0063,-5.39309,0.00952383
-79.0062,5.4887,0.00977153
-79.0046,-6.38235,0.00949648
-79.0044,6.47795,0.00978611
-79.0025,-7.3716,0.00946894
-79.0023,7.46721,0.00979963
-79.0001,-8.36085,0.00944151
-78.9999,8.45646,0.00981197
-78.9974,-9.35011,0.00941452
-78.9972,9.44571,0.00982393
-78.9944,-10.3394,0.00938884
-78.9941,10.435,0.00983621
-78.9911,-11.3286,0.00936363
-78.9908,11.4242,0.00984881
-78.9874,-12.3179,0.00934014
-78.9871,12.4135,0.00986354
-78.9835,-13.3071,0.00931906
-78.9831,13.4027,0.00971076
-78.9791,-14.2964,0.00930038
-78.9745,-15.2856,0.009284
-78.9695,-16.2749,0.00927116
-78.9641,-17.2641,0.0092638
-78.9583,-18.2534,0.00926562
-78.9522,-19.2426,0.00926526
-78.9457,-20.2319,0.00926782
-78.9388,-21.2212,0.00927173
-78.9315,-22.2104,0.0092776
-78.9237,-23.1997,0.00928686
-78.9156,-24.1889,0.0092985
-78.9069,-25.1782,0.00931413
-78.8978,-26.1674,0.00933299
-78.8882,-27.1567,0.00935504
-78.8781,-28.1459,0.00938199
-78.8675,-29.1352,0.00941163
-78.8563,-30.1244,0.00944443
-78.8446,-31.1137,0.00947719
-78.8322,-32.1029,0.00951331
-78.8193,-33.0922,0.00955301
-78.8057,-34.0815,0.00959652
-78.7914,-35.0707,0.00964437
-78.7763,-36.06,0.00961332
-78.7606,-37.0492,0.00643301
-78.0214,-0.446823,0.00973709
-78.0214,0.542431,0.00976282
-78.0209,-1.43608,0.00971091
-78.0208,1.53168,0.00978743
-78.0197,-2.42533,0.00968138
-78.0196,2.52094,0.00980154
-78.018,-3.41458,0.00965098
-78.0178,3.51019,0.00981041
-78.0156,-4.40384,0.0096202
-78.0154,4.49945,0.00982178
-78.0127,-5.39309,0.00958814
-78.0124,5.4887,0.00983837
-78.0092,-6.38235,0.00955643
-78.0088,6.47795,0.0098482
-78.005,-7.3716,0.00952615
-78.0046,7.46721,0.00985561
-78.0002,-8.36085,0.00949757
-77.9997,8.45646,0.00986272
-77.9949,-9.35011,0.00947227
-77.9943,9.44571,0.0098754
-77.9888,-10.3394,0.00945122
-77.9882,10.435,0.00989287
-77.9822,-11.3286,0.00943534
-77.9815,11.4242,0.00991764
-77.9749,-12.3179,0.00942513
-77.9741,12.4135,0.00994822
-77.9669,-13.3071,0.00942259
-77.9661,13.4027,0.00982949
-77.9583,-14.2964,0.00942765
-77.9489,-15.2856,0.00944155
-77.9389,-16.2749,0.0094675
-77.9282,-17.2641,0.00950634
-77.9167,-18.2534,0.00955249
-77.9044,-19.2426,0.00960509
-77.8914,-20.2319,0.0096704
-77.8776,-21.2212,0.00974826
-77.863,-22.2104,0.00982685
-77.8475,-23.1997,0.00990015
-77.8311,-24.1889,0.00997447
-77.8138,-25.1782,0.0100505
-77.7956,-26.1674,0.0101263
-77.7764,-27.1567,0.0101995
-77.7562,-28.1459,0.0102674
-77.735,-29.1352,0.0103276
-77.7126,-30.1244,0.0103779
-77.6891,-31.1137,0.0104166
-77.6645,-32.1029,0.0104425
-77.6385,-33.0922,0.0104554
-77.6113,-34.0815,0.0104683
-77.5827,-35.0707,0.0104745
-77.5527,-36.06,0.0103871
-77.5212,-37.0492,0.00677357
-77.0321,-0.446823,0.00979085
-77.0321,0.542431,0.00980974
-77.0313,-1.43608,0.00975765
-77.0312,1.53168,0.00982106
-77.0296,-2.42533,0.00972175
-77.0294,2.52094,0.00982922
-77.027,-3.41458,0.00968443
-77.0267,3.51019,0.00983352
-77.0235,-4.40384,0.00964451
-77.0231,4.49945,0.00983748
-77.019,-5.39309,0.00960531
-77.0186,5.4887,0.00984568
-77.0137,-6.38235,0.00956795
-77.0132,6.47795,0.00985234
-77.0075,-7.3716,0.00953292
