# gsimlt_path=b1,smlt_path=b1,imt=PGA,investigation_time=475.0
lon,lat,iml
-79.0017,0.407533,0.0228531
-79.0017,-0.590714,0.0228686
-79.0015,1.40578,0.0228458
-79.0014,-1.58896,0.0228925
-79.0009,2.40403,0.0228468
-79.0007,-2.58721,0.0229248
-79,3.40227,0.0228563
-78.9998,-3.58546,0.0229684
-78.9988,4.40052,0.0228748
-78.9986,-4.5837,0.0230189
-78.9973,5.39877,0.0229027
-78.997,-5.58195,0.0230793
-78.9955,6.39701,0.0229429
-78.9951,-6.5802,0.0231532
-78.9934,7.39526,0.0229916
-78.993,-7.57844,0.0232391
-78.9909,8.39351,0.0230521
-78.9905,-8.57669,0.0233379
-78.9882,9.39176,0.023128
-78.9877,-9.57494,0.023451
-78.9851,10.39,0.0232182
-78.9845,-10.5732,0.0235819
-78.9817,11.3882,0.0233242
-78.981,-11.5714,0.0237278
-78.978,12.3865,0.0234481
-78.9772,-12.5697,0.0238914
-78.9739,13.3847,0.0233072
-78.9731,-13.5679,0.0240772
-78.9686,-14.5662,0.0242906
-78.9638,-15.5644,0.0245405
-78.9586,-16.5627,0.0248256
-78.953,-17.5609,0.0251503
-78.947,-18.5592,0.025519
-78.9406,-19.5574,0.0259379
-78.9339,-20.5557,0.0264141
-78.9267,-21.5539,0.026969
-78.9191,-22.5521,0.0275741
-78.9111,-23.5504,0.0282551
-78.9026,-24.5486,0.0290212
-78.8936,-25.5469,0.0298848
-78.8841,-26.5451,0.0308795
-78.8742,-27.5434,0.0320152
-78.8637,-28.5416,0.0333164
-78.8526,-29.5399,0.0348477
-78.841,-30.5381,0.0366844
-78.8288,-31.5364,0.0387333
-78.816,-32.5346,0.0409954
-78.8025,-33.5329,0.0436378
-78.7883,-34.5311,0.0467824
-78.7734,-35.5294,0.0507028
-78.7578,-36.5276,0.0551318
-78.0035,0.407533,0.0229386
-78.0034,-0.590714,0.0229539
-78.0029,1.40578,0.0229308
-78.0027,-1.58896,0.0229769
-78.0017,2.40403,0.022931
-78.0015,-2.58721,0.0230082
-78,3.40227,0.0229401
-77.9996,-3.58546,0.0230535
-77.9976,4.40052,0.0229596
-77.9971,-4.5837,0.0231052
-77.9946,5.39877,0.0229938
-77.994,-5.58195,0.0231729
-77.991,6.39701,0.0230405
-77.9903,-6.5802,0.0232543
-77.9868,7.39526,0.0231077
-77.9859,-7.57844,0.0233611
-77.9819,8.39351,0.0231946
-77.9809,-8.57669,0.0234891
-77.9764,9.39176,0.0233139
-77.9753,-9.57494,0.0236493
-77.9702,10.39,0.0234665
-77.969,-10.5732,0.0238436
-77.9634,11.3882,0.0236539
-77.9621,-11.5714,0.0240818
-77.9559,12.3865,0.0238818
-77.9545,-12.5697,0.0243811
-77.9478,13.3847,0.0238885
-77.9462,-13.5679,0.0247434
-77.9372,-14.5662,0.0251806
-77.9275,-15.5644,0.025707
-77.9171,-16.5627,0.0263435
-77.9059,-17.5609,0.0271328
-77.894,-18.5592,0.0280214
-77.8813,-19.5574,0.0290664
-77.8678,-20.5557,0.030311
-77.8534,-21.5539,0.0318058
-77.8382,-22.5521,0.0335978
-77.8221,-23.5504,0.0358656
-77.8052,-24.5486,0.0385941
-77.7872,-25.5469,0.0417032
-77.7683,-26.5451,0.0455277
-77.7484,-27.5434,0.0505666
-77.7274,-28.5416,0.0567178
-77.7053,-29.5399,0.0643934
-77.6821,-30.5381,0.0769903
-77.6576,-31.5364,0.0944257
-77.632,-32.5346,0.119996
-77.605,-33.5329,0.159032
-77.5767,-34.5311,0.218991
-77.5469,-35.5294,0.307483
-77.5156,-36.5276,0.385611
-77.4828,-37.5259,0.00787364
-77.0052,0.407533,0.022942
-77.0051,-0.590714,0.0229596
-77.0044,1.40578,0.0229332
-77.0041,-1.58896,0.0229814
-77.0026,2.40403,0.0229319
-77.0022,-2.58721,0.0230111
-77,3.40227,0.0229401
-76.9994,-3.58546,0.0230535
-76.9964,4.40052,0.0229613
-76.9957,-4.5837,0.0231053
-76.9919,5.39877,0.023002
-76.991,-5.58195,0.0231812
-76.9865,6.39701,0.0230618
-76.9854,-6.5802,0.0232826
-76.9801,7.39526,0.0231609
-76.9789,-7.57844,0.0234221
-76.9728,8.39351,0.023299
-76.9714,-8.57669,0.0236078
-76.9646,9.39176,0.0234869
-76.963,-9.57494,0.0238443
-76.9553,10.39,0.0237325
-76.9535,-10.5732,0.0241562
-76.9451,11.3882,0.0240575
-76.9431,-11.5714,0.0245606
-76.9339,12.3865,0.0244721
